Date,ARISTON HOLDING
24/05/2024,4.739999771
27/05/2024,4.960000038
28/05/2024,4.880000114
29/05/2024,4.679999828
30/05/2024,4.811999798
31/05/2024,4.662000179
03/06/2024,4.579999924
04/06/2024,4.834000111
05/06/2024,4.736000061
06/06/2024,4.659999847
07/06/2024,4.618000031
10/06/2024,4.624000072
11/06/2024,4.495999813
12/06/2024,4.559999943
13/06/2024,4.361999989
14/06/2024,4.320000172
17/06/2024,4.366000175
18/06/2024,4.400000095
19/06/2024,4.21600008
20/06/2024,4.230000019
21/06/2024,4.087999821
24/06/2024,4.210000038
25/06/2024,4.096000195
26/06/2024,4.110000134
27/06/2024,3.930000067
28/06/2024,3.861999989
01/07/2024,3.756000042
02/07/2024,3.743999958
03/07/2024,3.803999901
04/07/2024,3.779999971
05/07/2024,3.752000093
08/07/2024,3.825999975
09/07/2024,3.776000023
10/07/2024,3.822000027
11/07/2024,3.980000019
12/07/2024,4.087999821
15/07/2024,3.987999916
16/07/2024,3.987999916
17/07/2024,4.176000118
18/07/2024,4.228000164
19/07/2024,4.122000217
22/07/2024,4.177999973
23/07/2024,4.147999763
24/07/2024,4.190000057
25/07/2024,4.118000031
26/07/2024,3.874000072
29/07/2024,3.680000067
30/07/2024,3.798000097
31/07/2024,3.757999897
01/08/2024,3.75999999
02/08/2024,3.798000097
05/08/2024,3.657999992
06/08/2024,3.628000021
07/08/2024,3.588000059
08/08/2024,3.614000082
09/08/2024,3.625999928
12/08/2024,3.650000095
13/08/2024,3.674000025
14/08/2024,3.720000029
16/08/2024,3.823999882
19/08/2024,3.878000021
20/08/2024,3.874000072
21/08/2024,3.944000006
22/08/2024,3.977999926
23/08/2024,4.102000237
26/08/2024,4.159999847
27/08/2024,4.256000042
28/08/2024,4.150000095
29/08/2024,4.156000137
30/08/2024,4.170000076
02/09/2024,4.276000023
03/09/2024,4.136000156
04/09/2024,4.177999973
05/09/2024,4.171999931
06/09/2024,3.973999977
09/09/2024,3.920000076
