Date,Close 
Jan 2 2024,59.80
Jan 3 2024,59.00
Jan 4 2024,59.40
Jan 5 2024,57.90
Jan 8 2024,58.30
Jan 9 2024,58.90
Jan 10 2024,58.60
Jan 11 2024,58.20
Jan 12 2024,58.70
Jan 15 2024,58.10
Jan 16 2024,58.00
Jan 17 2024,56.70
Jan 18 2024,57.10
Jan 19 2024,56.90
Jan 22 2024,57.30
Jan 23 2024,58.10
Jan 24 2024,58.00
Jan 25 2024,58.30
Jan 26 2024,58.20
Jan 29 2024,64.10
Jan 30 2024,65.00
Jan 31 2024,65.00
Feb 1 2024,65.00
Feb 2 2024,64.60
Feb 5 2024,63.90
Feb 6 2024,61.80
Feb 7 2024,61.90
Feb 8 2024,63.40
Feb 9 2024,63.30
Feb 12 2024,63.70
Feb 13 2024,63.10
Feb 14 2024,63.50
Feb 15 2024,62.30
Feb 16 2024,62.00
Feb 19 2024,62.00
Feb 20 2024,60.70
Feb 21 2024,60.50
Feb 22 2024,60.70
Feb 23 2024,60.00
Feb 26 2024,59.50
Feb 27 2024,59.80
Feb 28 2024,59.30
Feb 29 2024,58.10
Mar 1 2024,58.00
Mar 4 2024,59.60
Mar 5 2024,58.10
Mar 6 2024,58.20
Mar 7 2024,58.00
Mar 8 2024,57.30
Mar 11 2024,56.00
Mar 12 2024,56.30
Mar 13 2024,55.60
Mar 14 2024,54.50
Mar 15 2024,53.70
Mar 18 2024,52.90
Mar 19 2024,53.30
Mar 20 2024,53.40
Mar 21 2024,54.00
Mar 22 2024,54.10
Mar 25 2024,54.30
Mar 26 2024,53.60
Mar 27 2024,53.80
Mar 28 2024,55.60
Apr 2 2024,54.50
Apr 3 2024,53.70
Apr 4 2024,53.20
Apr 5 2024,52.70
Apr 8 2024,53.30
Apr 9 2024,53.20
Apr 10 2024,52.50
Apr 11 2024,52.40
Apr 12 2024,51.00
Apr 15 2024,51.10
Apr 16 2024,50.80
Apr 17 2024,51.80
Apr 18 2024,52.10
Apr 19 2024,53.40
Apr 22 2024,54.50
Apr 23 2024,56.40
Apr 24 2024,55.50
Apr 25 2024,54.80
Apr 26 2024,55.60
Apr 29 2024,57.70
Apr 30 2024,58.50
May 2 2024,59.20
May 3 2024,61.00
May 6 2024,61.20
May 7 2024,64.00
May 8 2024,64.30
May 9 2024,64.60
May 10 2024,63.30
May 13 2024,63.90
May 14 2024,64.50
May 15 2024,64.20
May 16 2024,65.20
May 17 2024,65.40
May 20 2024,66.50
May 21 2024,65.50
May 22 2024,66.80
May 23 2024,66.90
May 24 2024,64.10
May 27 2024,64.40
May 28 2024,64.50
May 29 2024,63.10
May 30 2024,63.30
May 31 2024,62.40
Jun 3 2024,61.80
Jun 4 2024,61.70
Jun 5 2024,62.30
Jun 6 2024,61.80
Jun 7 2024,62.10
Jun 10 2024,64.00
Jun 11 2024,63.10
Jun 12 2024,64.00
Jun 13 2024,61.20
Jun 14 2024,60.30
Jun 17 2024,60.30
Jun 18 2024,60.40
Jun 19 2024,59.40
Jun 20 2024,60.50
Jun 21 2024,60.40
Jun 24 2024,61.30
Jun 25 2024,60.50
Jun 26 2024,59.80
Jun 27 2024,60.00
Jun 28 2024,60.20
Jul 1 2024,58.80
Jul 1 2024,
Jul 2 2024,59.00
Jul 3 2024,60.10
Jul 4 2024,60.00
Jul 5 2024,59.40
Jul 8 2024,58.90
Jul 9 2024,58.60
Jul 10 2024,58.80
Jul 11 2024,59.50
Jul 12 2024,60.00
Jul 15 2024,59.10
Jul 16 2024,58.60
Jul 17 2024,57.30
Jul 18 2024,57.20
Jul 19 2024,56.50
Jul 22 2024,56.40
Jul 23 2024,55.90
Jul 24 2024,55.30
Jul 25 2024,54.70
Jul 26 2024,54.70
Jul 29 2024,53.90
Jul 30 2024,54.20
Jul 31 2024,55.00
Aug 1 2024,54.30
Aug 2 2024,52.70
Aug 5 2024,52.10
Aug 6 2024,50.10
Aug 7 2024,50.60
Aug 8 2024,50.50
Aug 9 2024,51.20
Aug 12 2024,51.40
Aug 13 2024,50.90
Aug 14 2024,50.80
Aug 16 2024,50.80
Aug 19 2024,50.80
Aug 20 2024,50.00
Aug 21 2024,49.95
Aug 22 2024,49.50
Aug 23 2024,49.80
Aug 26 2024,49.80
Aug 27 2024,49.50
Aug 28 2024,49.65
Aug 29 2024,49.90
Aug 30 2024,49.90
Sep 2 2024,49.60
Sep 3 2024,47.60
Sep 4 2024,46.95
Sep 5 2024,46.30
Sep 6 2024,46.35
Sep 9 2024,46.85
Sep 10 2024,47.10
Sep 11 2024,47.80
Sep 12 2024,48.30
Sep 13 2024,49.50
Sep 16 2024,49.20
Sep 17 2024,50.00
Sep 18 2024,48.90
Sep 19 2024,50.40
Sep 20 2024,49.15
Sep 23 2024,49.55
Sep 24 2024,49.00
Sep 25 2024,52.00
Sep 26 2024,53.80
Sep 27 2024,52.50
Sep 30 2024,52.20
Oct 1 2024,51.30
Oct 2 2024,50.90
Oct 3 2024,50.20
Oct 4 2024,51.70
Oct 7 2024,54.80
Oct 8 2024,54.80
Oct 9 2024,56.80
Oct 10 2024,56.90
Oct 11 2024,57.00
Oct 14 2024,59.30
Oct 15 2024,53.10
Oct 16 2024,12.50
Oct 17 2024,13.50
Oct 18 2024,13.70
Oct 21 2024,14.42
Oct 22 2024,14.32
Oct 23 2024,13.28
Oct 24 2024,12.34
Oct 25 2024,11.90
Oct 28 2024,11.30
Oct 29 2024,11.92
Oct 30 2024,11.58
Oct 31 2024,10.94
Nov 1 2024,10.94
Nov 4 2024,10.78
Nov 5 2024,10.90
Nov 6 2024,11.42
Nov 7 2024,11.04
Nov 8 2024,10.92
Nov 11 2024,11.78
Nov 12 2024,13.04
Nov 13 2024,12.70
Nov 14 2024,12.56
Nov 15 2024,13.10
Nov 18 2024,13.64
Nov 19 2024,13.90
Nov 20 2024,13.94
Nov 21 2024,13.70
Nov 22 2024,13.42
Nov 25 2024,13.48
Nov 26 2024,14.58
Nov 27 2024,17.06
Nov 28 2024,17.02
Nov 29 2024,17.34
Dec 2 2024,17.18
Dec 3 2024,17.94
Dec 4 2024,20.30
Dec 5 2024,22.75
Dec 6 2024,24.35
Dec 9 2024,25.90
Dec 10 2024,28.80
Dec 11 2024,32.50
