Date,FTSE
02/01/2024,30524.63
03/01/2024,30100.84
04/01/2024,30403.96
05/01/2024,30440.95
08/01/2024,30569.92
09/01/2024,30408.78
10/01/2024,30450.78
11/01/2024,30249.16
12/01/2024,30470.55
15/01/2024,30327.72
16/01/2024,30337.62
17/01/2024,30098.86
18/01/2024,30350.53
19/01/2024,30283.61
22/01/2024,30182.32
23/01/2024,30077.46
24/01/2024,30338.35
25/01/2024,30157.8
26/01/2024,30379.33
29/01/2024,30233.61
30/01/2024,30623.27
31/01/2024,30744.24
01/02/2024,30689.11
02/02/2024,30717.95
05/02/2024,30952.79
06/02/2024,31116.75
07/02/2024,30976.02
08/02/2024,31064.15
09/02/2024,31156.06
12/02/2024,31456.73
13/02/2024,31134.17
14/02/2024,31329.38
15/02/2024,31694.44
16/02/2024,31732.39
19/02/2024,31676.05
20/02/2024,31701.48
21/02/2024,32018.4
22/02/2024,32356.26
23/02/2024,32700.92
26/02/2024,32557.81
27/02/2024,32706.44
28/02/2024,32617.96
29/02/2024,32580.94
01/03/2024,32934.29
04/03/2024,32912.34
05/03/2024,33146.16
06/03/2024,33363.84
07/03/2024,33418.68
08/03/2024,33403.8
11/03/2024,33315.07
12/03/2024,33753.12
13/03/2024,33885.43
14/03/2024,33786.18
15/03/2024,33940.03
18/03/2024,33940.96
19/03/2024,34262.36
20/03/2024,34293.29
21/03/2024,34327.95
22/03/2024,34343.61
25/03/2024,34639.41
26/03/2024,34688.17
27/03/2024,34759.69
28/03/2024,34750.35
02/04/2024,34325.23
03/04/2024,34480.87
04/04/2024,34454.58
05/04/2024,34010.88
08/04/2024,34315.96
09/04/2024,33946.29
10/04/2024,34039.63
11/04/2024,33713.94
12/04/2024,33764.15
15/04/2024,33954.28
16/04/2024,33393.85
17/04/2024,33632.71
18/04/2024,33881.5
19/04/2024,33922.16
22/04/2024,33724.82
23/04/2024,34363.75
24/04/2024,34271.12
25/04/2024,33939.75
26/04/2024,34249.77
29/04/2024,34296.31
30/04/2024,33746.66
