Data,MTCM
17.01.2025,9.720
16.01.2025,8.870
15.01.2025,8.720
14.01.2025,8.715
13.01.2025,8.720
10.01.2025,8.735
09.01.2025,8.840
08.01.2025,8.795
07.01.2025,8.540
06.01.2025,8.525
03.01.2025,8.555
02.01.2025,8.415
30.12.2024,8.260
27.12.2024,8.270
23.12.2024,8.200
20.12.2024,8.135
19.12.2024,7.935
18.12.2024,8.040
17.12.2024,7.800
16.12.2024,7.990
13.12.2024,7.955
12.12.2024,7.955
11.12.2024,7.900
10.12.2024,7.695
09.12.2024,7.790
06.12.2024,7.770
05.12.2024,7.780
04.12.2024,7.720
03.12.2024,7.260
02.12.2024,7.245
29.11.2024,7.245
28.11.2024,7.200
27.11.2024,7.100
26.11.2024,7.105
25.11.2024,7.185
22.11.2024,7.200
21.11.2024,7.205
20.11.2024,7.195
19.11.2024,7.150
18.11.2024,7.150
15.11.2024,7.055
14.11.2024,7.170
13.11.2024,7.150
12.11.2024,6.985
11.11.2024,7.125
08.11.2024,7.135
07.11.2024,7.110
06.11.2024,6.995
05.11.2024,6.935
04.11.2024,6.910
01.11.2024,7.035
31.10.2024,6.945
30.10.2024,6.855
29.10.2024,6.625
28.10.2024,6.695
25.10.2024,6.590
24.10.2024,7.190
23.10.2024,7.270
22.10.2024,7.360
21.10.2024,7.485
18.10.2024,7.535
17.10.2024,7.630
16.10.2024,7.990
15.10.2024,7.480
14.10.2024,7.465
11.10.2024,7.510
10.10.2024,7.305
09.10.2024,7.125
08.10.2024,7.240
07.10.2024,7.220
04.10.2024,7.220
03.10.2024,7.200
02.10.2024,7.215
01.10.2024,7.300
30.09.2024,7.420
27.09.2024,7.370
26.09.2024,7.330
25.09.2024,7.430
24.09.2024,7.610
23.09.2024,7.535
20.09.2024,7.430
19.09.2024,7.460
18.09.2024,7.330
17.09.2024,7.395
16.09.2024,7.360
13.09.2024,7.350
12.09.2024,7.445
11.09.2024,7.400
10.09.2024,7.435
09.09.2024,7.515
06.09.2024,7.370
05.09.2024,7.440
04.09.2024,7.515
03.09.2024,7.490
02.09.2024,7.670
30.08.2024,7.850
29.08.2024,7.750
28.08.2024,7.780
27.08.2024,7.200
26.08.2024,7.230
23.08.2024,7.380
22.08.2024,7.330
21.08.2024,7.350
20.08.2024,7.250
19.08.2024,7.325
16.08.2024,7.395
14.08.2024,7.210
13.08.2024,7.215
12.08.2024,7.150
09.08.2024,7.075
08.08.2024,7.085
07.08.2024,7.130
06.08.2024,7.025
05.08.2024,6.870
02.08.2024,6.980
01.08.2024,7.165
31.07.2024,7.340
30.07.2024,7.660
29.07.2024,7.660
26.07.2024,7.785
25.07.2024,7.730
24.07.2024,8.000
23.07.2024,8.140
22.07.2024,8.025
19.07.2024,7.960
18.07.2024,7.950
17.07.2024,7.725
16.07.2024,7.785
15.07.2024,7.550
12.07.2024,7.535
11.07.2024,7.385
10.07.2024,7.355
09.07.2024,7.285
08.07.2024,7.390
05.07.2024,7.500
04.07.2024,7.540
03.07.2024,7.545
02.07.2024,7.415
01.07.2024,7.530
28.06.2024,7.740
27.06.2024,7.440
26.06.2024,7.250
25.06.2024,7.285
24.06.2024,7.335
21.06.2024,7.215
20.06.2024,7.315
19.06.2024,7.205
18.06.2024,7.230
17.06.2024,6.945
14.06.2024,6.975
13.06.2024,7.080
12.06.2024,7.225
11.06.2024,7.025
10.06.2024,7.310
07.06.2024,7.305
06.06.2024,7.465
05.06.2024,7.385
04.06.2024,7.350
03.06.2024,7.425
31.05.2024,7.565
30.05.2024,7.600
29.05.2024,7.580
28.05.2024,7.980
27.05.2024,8.130
24.05.2024,8.085
23.05.2024,7.825
22.05.2024,7.610
21.05.2024,7.420
20.05.2024,7.360
17.05.2024,7.300
16.05.2024,7.370
15.05.2024,7.400
14.05.2024,7.435
13.05.2024,7.485
10.05.2024,7.345
09.05.2024,7.295
08.05.2024,7.190
07.05.2024,7.660
06.05.2024,7.640
03.05.2024,7.490
02.05.2024,7.475
30.04.2024,7.790
29.04.2024,7.830
26.04.2024,7.730
25.04.2024,7.470
24.04.2024,7.410
23.04.2024,7.330
22.04.2024,7.185
19.04.2024,7.555
18.04.2024,7.765
17.04.2024,7.675
16.04.2024,7.610
15.04.2024,7.715
12.04.2024,7.585
11.04.2024,7.430
10.04.2024,7.775
09.04.2024,7.755
08.04.2024,7.735
05.04.2024,7.655
04.04.2024,7.610
03.04.2024,7.845
02.04.2024,7.555
28.03.2024,7.265
27.03.2024,7.260
26.03.2024,7.210
25.03.2024,7.360
22.03.2024,7.260
21.03.2024,7.150
20.03.2024,7.225
19.03.2024,7.130
18.03.2024,6.965
15.03.2024,6.975
14.03.2024,7.090
13.03.2024,6.965
12.03.2024,7.010
11.03.2024,6.905
08.03.2024,6.865
07.03.2024,6.755
06.03.2024,6.445
