Data	SPMI
02/01/2024	1.4875
03/01/2024	1.489
04/01/2024	1.537
05/01/2024	1.567
08/01/2024	1.5065
09/01/2024	1.4715
10/01/2024	1.445
11/01/2024	1.408
12/01/2024	1.447
15/01/2024	1.416
16/01/2024	1.4405
17/01/2024	1.44
18/01/2024	1.4335
19/01/2024	1.426
22/01/2024	1.437
23/01/2024	1.478
24/01/2024	1.522
25/01/2024	1.5175
26/01/2024	1.508
29/01/2024	1.5175
30/01/2024	1.3245
31/01/2024	1.334
01/02/2024	1.337
02/02/2024	1.314
05/02/2024	1.288
06/02/2024	1.301
07/02/2024	1.2595
08/02/2024	1.262
09/02/2024	1.259
12/02/2024	1.333
13/02/2024	1.3545
14/02/2024	1.347
15/02/2024	1.371
16/02/2024	1.375
19/02/2024	1.3905
20/02/2024	1.3665
21/02/2024	1.381
22/02/2024	1.406
23/02/2024	1.4015
26/02/2024	1.432
27/02/2024	1.493
28/02/2024	1.4835
29/02/2024	1.681
01/03/2024	1.8215
04/03/2024	1.91
05/03/2024	1.979
06/03/2024	1.935
07/03/2024	1.9725
08/03/2024	1.9985
11/03/2024	1.9765
12/03/2024	1.998
13/03/2024	1.9785
14/03/2024	2.068
15/03/2024	2.105
18/03/2024	2.112
19/03/2024	2.087
20/03/2024	2.109
21/03/2024	2.071
22/03/2024	2.025
25/03/2024	2.148
26/03/2024	2.248
27/03/2024	2.194
28/03/2024	2.262
02/04/2024	2.304
03/04/2024	2.292
04/04/2024	2.253
05/04/2024	2.233
08/04/2024	2.254
09/04/2024	2.255
10/04/2024	2.311
11/04/2024	2.324
12/04/2024	2.415
15/04/2024	2.397
16/04/2024	2.34
17/04/2024	2.332
18/04/2024	2.288
19/04/2024	2.24
22/04/2024	2.222
23/04/2024	2.256
24/04/2024	2.181
25/04/2024	2.143
26/04/2024	2.187
29/04/2024	2.214
30/04/2024	2.164
02/05/2024	2.192
03/05/2024	2.147
06/05/2024	2.179
07/05/2024	2.16
08/05/2024	2.113
09/05/2024	2.148
10/05/2024	2.157
13/05/2024	2.131
14/05/2024	2.197
15/05/2024	2.198
16/05/2024	2.212
17/05/2024	2.274
20/05/2024	2.282
21/05/2024	2.373
22/05/2024	2.331
23/05/2024	2.313
24/05/2024	2.3
27/05/2024	2.382
28/05/2024	2.373
29/05/2024	2.294
30/05/2024	2.325
31/05/2024	2.286
03/06/2024	2.233
04/06/2024	2.137
05/06/2024	2.153
06/06/2024	2.156
07/06/2024	2.171
10/06/2024	2.154
11/06/2024	2.065
12/06/2024	2.102
13/06/2024	2.03
14/06/2024	2.024
17/06/2024	2.019
18/06/2024	2.09
19/06/2024	2.09
20/06/2024	2.129
21/06/2024	2.154
24/06/2024	2.159
25/06/2024	2.237
26/06/2024	2.29
27/06/2024	2.363
28/06/2024	2.392
01/07/2024	2.398
02/07/2024	2.404
03/07/2024	2.336
04/07/2024	2.323
05/07/2024	2.325
08/07/2024	2.27
09/07/2024	2.234
10/07/2024	2.328
