Data,STLAM
17.01.2025,12.550
16.01.2025,12.208
15.01.2025,12.330
14.01.2025,12.100
13.01.2025,12.040
10.01.2025,12.276
09.01.2025,12.420
08.01.2025,12.450
07.01.2025,12.788
06.01.2025,12.652
03.01.2025,12.176
02.01.2025,12.620
30.12.2024,12.590
27.12.2024,12.596
23.12.2024,12.342
20.12.2024,12.378
19.12.2024,12.362
18.12.2024,12.744
17.12.2024,12.758
16.12.2024,12.730
13.12.2024,13.348
12.12.2024,13.208
11.12.2024,13.194
10.12.2024,13.274
09.12.2024,13.146
06.12.2024,12.948
05.12.2024,12.548
04.12.2024,12.090
03.12.2024,11.934
02.12.2024,11.746
29.11.2024,12.536
28.11.2024,12.350
27.11.2024,12.136
26.11.2024,12.200
25.11.2024,12.814
22.11.2024,12.514
21.11.2024,12.170
20.11.2024,12.208
19.11.2024,12.388
18.11.2024,12.656
15.11.2024,12.702
14.11.2024,12.792
13.11.2024,12.460
12.11.2024,12.540
11.11.2024,12.762
08.11.2024,12.538
07.11.2024,13.020
06.11.2024,12.872
05.11.2024,12.650
04.11.2024,12.608
01.11.2024,12.724
31.10.2024,12.596
30.10.2024,12.238
29.10.2024,12.398
28.10.2024,12.704
25.10.2024,12.672
24.10.2024,12.560
23.10.2024,12.380
22.10.2024,12.020
21.10.2024,11.926
18.10.2024,12.184
17.10.2024,11.956
16.10.2024,12.010
15.10.2024,12.002
14.10.2024,12.042
11.10.2024,11.856
10.10.2024,12.194
09.10.2024,12.220
08.10.2024,11.988
07.10.2024,12.214
04.10.2024,12.120
03.10.2024,11.912
02.10.2024,12.408
01.10.2024,12.428
30.09.2024,12.408
27.09.2024,14.550
26.09.2024,13.992
25.09.2024,13.784
24.09.2024,13.994
23.09.2024,13.778
20.09.2024,13.470
19.09.2024,13.950
18.09.2024,13.664
17.09.2024,13.642
16.09.2024,13.590
13.09.2024,13.614
12.09.2024,13.512
11.09.2024,13.620
10.09.2024,13.680
09.09.2024,14.064
06.09.2024,14.060
05.09.2024,14.294
04.09.2024,14.534
03.09.2024,14.606
02.09.2024,15.020
30.08.2024,15.138
29.08.2024,15.146
28.08.2024,14.988
27.08.2024,15.020
26.08.2024,14.934
23.08.2024,14.966
22.08.2024,14.736
21.08.2024,14.878
20.08.2024,14.734
19.08.2024,14.732
16.08.2024,14.366
14.08.2024,14.096
13.08.2024,13.878
12.08.2024,13.980
09.08.2024,14.064
08.08.2024,14.238
07.08.2024,14.238
06.08.2024,14.170
05.08.2024,14.304
02.08.2024,14.684
01.08.2024,15.190
31.07.2024,15.404
30.07.2024,15.486
29.07.2024,15.628
26.07.2024,16.166
25.07.2024,16.674
24.07.2024,18.260
23.07.2024,18.378
22.07.2024,18.814
19.07.2024,18.584
18.07.2024,19.006
17.07.2024,18.658
16.07.2024,18.492
15.07.2024,18.656
12.07.2024,18.640
11.07.2024,18.564
10.07.2024,18.480
09.07.2024,18.068
08.07.2024,18.020
05.07.2024,18.108
04.07.2024,18.298
03.07.2024,18.316
02.07.2024,18.208
01.07.2024,18.634
28.06.2024,18.470
27.06.2024,18.544
26.06.2024,19.342
25.06.2024,19.370
24.06.2024,19.386
21.06.2024,19.032
