Date,DIGIT VALUE
02-01-2024,59.8
03-01-2024,59.0
04-01-2024,59.4
05-01-2024,57.9
08-01-2024,58.3
09-01-2024,58.9
10-01-2024,58.6
11-01-2024,58.2
12-01-2024,58.7
15-01-2024,58.1
16-01-2024,58.0
17-01-2024,56.7
18-01-2024,57.1
19-01-2024,56.9
22-01-2024,57.3
23-01-2024,58.1
24-01-2024,58.0
25-01-2024,58.3
26-01-2024,58.2
29-01-2024,64.1
30-01-2024,65.0
31-01-2024,65.0
01-02-2024,65.0
02-02-2024,64.6
05-02-2024,63.9
06-02-2024,61.8
07-02-2024,61.9
08-02-2024,63.4
09-02-2024,63.3
12-02-2024,63.7
13-02-2024,63.1
14-02-2024,63.5
15-02-2024,62.3
16-02-2024,62.0
19-02-2024,62.0
20-02-2024,60.7
21-02-2024,60.5
22-02-2024,60.7
23-02-2024,60.0
26-02-2024,59.5
27-02-2024,59.8
28-02-2024,59.3
29-02-2024,58.1
01-03-2024,58.0
04-03-2024,59.6
05-03-2024,58.1
06-03-2024,58.2
07-03-2024,58.0
08-03-2024,57.3
11-03-2024,56.0
12-03-2024,56.3
13-03-2024,55.6
14-03-2024,54.5
15-03-2024,53.7
18-03-2024,52.9
19-03-2024,53.3
20-03-2024,53.4
21-03-2024,54.0
22-03-2024,54.1
25-03-2024,54.3
26-03-2024,53.6
27-03-2024,53.8
28-03-2024,55.6
02-04-2024,54.5
03-04-2024,53.7
04-04-2024,53.2
05-04-2024,52.7
08-04-2024,53.3
09-04-2024,53.2
10-04-2024,52.5
11-04-2024,52.4
12-04-2024,51.0
15-04-2024,51.1
16-04-2024,50.8
17-04-2024,51.8
18-04-2024,52.1
19-04-2024,53.4
22-04-2024,54.5
23-04-2024,56.4
24-04-2024,55.5
25-04-2024,54.8
26-04-2024,55.6
29-04-2024,57.7
30-04-2024,58.5
02-05-2024,59.2
03-05-2024,61.0
06-05-2024,61.2
07-05-2024,64.0
08-05-2024,64.3
09-05-2024,64.6
10-05-2024,63.3
