Data,TENR
02-01-2024,15.90
03-01-2024,15.80
04-01-2024,15.61
05-01-2024,15.56
08-01-2024,15.23
09-01-2024,15.01
10-01-2024,14.77
11-01-2024,14.70
12-01-2024,14.73
15-01-2024,14.56
16-01-2024,14.49
17-01-2024,14.49
18-01-2024,14.51
19-01-2024,14.43
22-01-2024,14.70
23-01-2024,14.79
24-01-2024,14.98
25-01-2024,14.98
26-01-2024,15.06
29-01-2024,14.98
30-01-2024,14.69
31-01-2024,14.72
01-02-2024,14.78
02-02-2024,15.02
05-02-2024,14.53
06-02-2024,14.80
07-02-2024,14.57
08-02-2024,14.74
09-02-2024,14.70
12-02-2024,14.91
13-02-2024,14.82
14-02-2024,14.74
15-02-2024,14.96
16-02-2024,15.09
19-02-2024,14.93
20-02-2024,14.77
21-02-2024,15.02
22-02-2024,16.12
23-02-2024,16.42
26-02-2024,16.58
27-02-2024,16.68
28-02-2024,16.58
29-02-2024,16.42
01-03-2024,16.48
04-03-2024,16.41
05-03-2024,16.99
06-03-2024,17.18
07-03-2024,17.26
08-03-2024,17.31
11-03-2024,17.30
12-03-2024,17.55
13-03-2024,17.71
14-03-2024,17.87
15-03-2024,17.74
18-03-2024,17.68
19-03-2024,17.95
20-03-2024,17.99
21-03-2024,18.15
22-03-2024,18.26
25-03-2024,18.28
26-03-2024,18.31
27-03-2024,18.40
28-03-2024,18.32
02-04-2024,18.26
03-04-2024,18.60
04-04-2024,18.64
05-04-2024,18.44
08-04-2024,18.58
09-04-2024,18.33
10-04-2024,18.50
11-04-2024,18.35
12-04-2024,18.42
15-04-2024,18.15
16-04-2024,17.85
17-04-2024,17.94
18-04-2024,17.87
19-04-2024,17.70
22-04-2024,17.67
23-04-2024,17.53
24-04-2024,17.45
25-04-2024,17.35
26-04-2024,15.98
29-04-2024,15.89
30-04-2024,15.68
02-05-2024,15.57
03-05-2024,15.60
06-05-2024,15.87
07-05-2024,15.86
08-05-2024,15.66
09-05-2024,15.97
10-05-2024,15.96
13-05-2024,16.02
14-05-2024,16.16
15-05-2024,16.15
16-05-2024,16.07
17-05-2024,16.11
20-05-2024,15.80
21-05-2024,15.97
22-05-2024,15.64
23-05-2024,15.60
24-05-2024,15.55
27-05-2024,15.81
28-05-2024,15.75
29-05-2024,15.54
30-05-2024,15.17
