Date,FTSE
2024-24-01,30524.63
2024-24-01,30100.84
2024-24-01,30403.96
2024-24-01,30440.95
2024-24-01,30569.92
2024-24-01,30408.78
2024-24-01,30450.78
2024-24-01,30249.16
2024-24-01,30470.55
2024-24-01,30327.72
2024-24-01,30337.62
2024-24-01,30098.86
2024-24-01,30350.53
2024-24-01,30283.61
2024-24-01,30182.32
2024-24-01,30077.46
2024-24-01,30338.35
2024-24-01,30157.8
2024-24-01,30379.33
2024-24-01,30233.61
2024-24-01,30623.27
2024-24-01,30744.24
2024-24-02,30689.11
2024-24-02,30717.95
2024-24-02,30952.79
2024-24-02,31116.75
2024-24-02,30976.02
2024-24-02,31064.15
2024-24-02,31156.06
2024-24-02,31456.73
2024-24-02,31134.17
2024-24-02,31329.38
2024-24-02,31694.44
2024-24-02,31732.39
2024-24-02,31676.05
2024-24-02,31701.48
2024-24-02,32018.4
2024-24-02,32356.26
2024-24-02,32700.92
2024-24-02,32557.81
2024-24-02,32706.44
2024-24-02,32617.96
2024-24-02,32580.94
2024-24-03,32934.29
2024-24-03,32912.34
2024-24-03,33146.16
2024-24-03,33363.84
2024-24-03,33418.68
2024-24-03,33403.8
2024-24-03,33315.07
2024-24-03,33753.12
2024-24-03,33885.43
2024-24-03,33786.18
2024-24-03,33940.03
2024-24-03,33940.96
2024-24-03,34262.36
2024-24-03,34293.29
2024-24-03,34327.95
2024-24-03,34343.61
2024-24-03,34639.41
2024-24-03,34688.17
2024-24-03,34759.69
2024-24-03,34750.35
2024-24-04,34325.23
2024-24-04,34480.87
2024-24-04,34454.58
2024-24-04,34010.88
2024-24-04,34315.96
2024-24-04,33946.29
2024-24-04,34039.63
2024-24-04,33713.94
2024-24-04,33764.15
2024-24-04,33954.28
2024-24-04,33393.85
2024-24-04,33632.71
2024-24-04,33881.5
2024-24-04,33922.16
2024-24-04,33724.82
2024-24-04,34363.75
2024-24-04,34271.12
2024-24-04,33939.75
2024-24-04,34249.77
2024-24-04,34296.31
2024-24-04,33746.66
2024-24-05,33736.4
2024-24-05,33629.21
2024-24-05,33986.9
2024-24-05,34242.49
2024-24-05,34151.41
2024-24-05,34339.32
2024-24-05,34657.35
2024-24-05,34815.91
2024-24-05,35151.42
2024-24-05,35366.2
2024-24-05,35410.13
2024-24-05,35398.82
2024-24-05,34825.01
2024-24-05,34603.61
2024-24-05,34460.52
2024-24-05,34467.67
2024-24-05,34490.71
2024-24-05,34761.97
2024-24-05,34659.55
2024-24-05,34150.54
2024-24-05,34447.57
2024-24-05,34492.41
2024-24-06,34670.06
2024-24-06,34276.02
2024-24-06,34507.84
2024-24-06,34834.3
2024-24-06,34660.38
2024-24-06,34542.01
2024-24-06,33874.48
2024-24-06,34358.83
2024-24-06,33609.85
2024-24-06,32665.21
2024-24-06,32908.05
2024-24-06,33315.68
2024-24-06,33220.31
2024-24-06,33675.15
2024-24-06,33308.77
2024-24-06,33834.91
2024-24-06,33707.21
2024-24-06,33541.98
2024-24-06,33186.89
2024-24-06,33154.05
2024-24-07,33716.54
2024-24-07,33481.4
2024-24-07,33844.95
2024-24-07,34106.01
2024-24-07,33987.67
2024-24-07,34046.54
2024-24-07,33864.47
2024-24-07,34306.4
2024-24-07,34318.11
2024-24-07,34580.52
2024-24-07,34375.92
2024-24-07,34369.19
2024-24-07,34379.64
2024-24-07,34529.13
2024-24-07,34215.84
2024-24-07,34615.05
2024-24-07,34637.75
2024-24-07,34471.65
2024-24-07,33771.07
2024-24-07,33812.44
2024-24-07,33640.83
2024-24-07,33908.02
2024-24-07,33763.86
2024-24-08,32857.43
2024-24-08,32018.82
2024-24-08,31293.52
2024-24-08,31107.13
2024-24-08,31831.64
2024-24-08,31741.91
2024-24-08,31782.23
2024-24-08,31928.32
2024-24-08,32006.45
2024-24-08,32328.03
2024-24-08,33040.81
2024-24-08,33266.32
2024-24-08,33075.62
2024-24-08,33312.41
2024-24-08,33310.93
2024-24-08,33650.17
2024-24-08,33604.8
2024-24-08,33778.8
2024-24-08,33880.05
2024-24-08,34192.06
2024-24-08,34372.67
2024-24-09,34320.6
2024-24-09,33863.43
2024-24-09,33682.26
2024-24-09,33684.8
2024-24-09,33291.39
2024-24-09,33590.34
2024-24-09,33213.29
2024-24-09,33174.42
2024-24-09,33453.78
2024-24-09,33568.47
2024-24-09,33569.98
2024-24-09,33780.28
2024-24-09,33655.49
2024-24-09,34044.86
2024-24-09,33762.25
2024-24-09,33679.8
2024-24-09,33881.26
2024-24-09,33840.54
2024-24-09,34409.34
2024-24-09,34727.4
2024-24-09,34125.26
2024-24-10,33771.08
2024-24-10,33675.26
2024-24-10,33170.03
2024-24-10,33594.12
2024-24-10,33814.52
2024-24-10,33733.9
2024-24-10,33933.03
2024-24-10,34077.42
2024-24-10,34308.01
2024-24-10,34680.55
2024-24-10,34578.45
2024-24-10,34660.01
2024-24-10,35038.73
2024-24-10,35204.26
2024-24-10,34955.95
2024-24-10,34733.52
2024-24-10,34697.23
2024-24-10,34698.81
2024-24-10,34776.1
2024-24-10,35016.44
2024-24-10,34925.59
2024-24-10,34502.7
2024-24-10,34281.24
2024-24-11,34676.17
2024-24-11,34540.73
2024-24-11,34472.06
2024-24-11,33940.72
