Date;MTCM
2024-24-01;4,968
2024-24-01;4,826
2024-24-01;4,864
2024-24-01;4,844
2024-24-01;4,868
2024-24-01;4,85
2024-24-01;4,828
2024-24-01;4,792
2024-24-01;4,968
2024-24-01;4,92
2024-24-01;4,896
2024-24-01;4,896
2024-24-01;4,868
2024-24-01;4,796
2024-24-01;4,804
2024-24-01;4,754
2024-24-01;4,848
2024-24-01;4,888
2024-24-01;4,898
2024-24-01;4,818
2024-24-01;4,836
2024-24-01;4,822
2024-24-02;4,82
2024-24-02;4,75
2024-24-02;4,682
2024-24-02;4,732
2024-24-02;4,646
2024-24-02;4,75
2024-24-02;4,796
2024-24-02;4,84
2024-24-02;4,872
2024-24-02;4,818
2024-24-02;4,762
2024-24-02;4,762
2024-24-02;4,822
2024-24-02;4,838
2024-24-02;5,01
2024-24-02;5,13
2024-24-02;5,035
2024-24-02;5,13
2024-24-02;5,155
2024-24-02;5,14
2024-24-02;5,3
2024-24-03;5,32
2024-24-03;5,465
2024-24-03;6,11
2024-24-03;6,445
2024-24-03;6,755
2024-24-03;6,865
2024-24-03;6,905
2024-24-03;7,01
2024-24-03;6,965
2024-24-03;7,09
2024-24-03;6,975
2024-24-03;6,965
2024-24-03;7,13
2024-24-03;7,225
2024-24-03;7,15
2024-24-03;7,26
2024-24-03;7,36
2024-24-03;7,21
2024-24-03;7,26
2024-24-03;7,265
2024-24-04;7,555
2024-24-04;7,845
2024-24-04;7,61
2024-24-04;7,655
2024-24-04;7,735
2024-24-04;7,755
2024-24-04;7,775
2024-24-04;7,43
2024-24-04;7,585
2024-24-04;7,715
2024-24-04;7,61
2024-24-04;7,675
2024-24-04;7,765
2024-24-04;7,555
2024-24-04;7,185
2024-24-04;7,33
2024-24-04;7,41
2024-24-04;7,47
2024-24-04;7,73
2024-24-04;7,83
2024-24-04;7,79
2024-24-05;7,475
2024-24-05;7,49
2024-24-05;7,64
2024-24-05;7,66
2024-24-05;7,19
2024-24-05;7,295
2024-24-05;7,345
2024-24-05;7,485
2024-24-05;7,435
2024-24-05;7,4
2024-24-05;7,37
2024-24-05;7,3
2024-24-05;7,36
2024-24-05;7,42
2024-24-05;7,61
2024-24-05;7,825
2024-24-05;8,085
2024-24-05;8,13
2024-24-05;7,98
2024-24-05;7,58
2024-24-05;7,6
2024-24-05;7,565
2024-24-06;7,425
2024-24-06;7,35
2024-24-06;7,385
2024-24-06;7,465
2024-24-06;7,305
2024-24-06;7,31
2024-24-06;7,025
2024-24-06;7,225
2024-24-06;7,08
2024-24-06;6,975
2024-24-06;6,945
2024-24-06;7,23
2024-24-06;7,205
2024-24-06;7,315
2024-24-06;7,215
2024-24-06;7,335
2024-24-06;7,285
2024-24-06;7,25
2024-24-06;7,44
2024-24-06;7,74
2024-24-07;7,53
2024-24-07;7,415
2024-24-07;7,545
2024-24-07;7,54
2024-24-07;7,5
2024-24-07;7,39
2024-24-07;7,285
2024-24-07;7,355
2024-24-07;7,385
2024-24-07;7,535
2024-24-07;7,55
2024-24-07;7,785
2024-24-07;7,725
2024-24-07;7,95
2024-24-07;7,96
2024-24-07;8,025
2024-24-07;8,14
2024-24-07;8
2024-24-07;7,73
2024-24-07;7,785
2024-24-07;7,66
2024-24-07;7,66
2024-24-07;7,34
2024-24-08;7,165
2024-24-08;6,98
2024-24-08;6,87
2024-24-08;7,025
2024-24-08;7,13
2024-24-08;7,085
2024-24-08;7,075
2024-24-08;7,15
2024-24-08;7,215
2024-24-08;7,21
2024-24-08;7,395
2024-24-08;7,325
2024-24-08;7,25
2024-24-08;7,35
2024-24-08;7,33
2024-24-08;7,38
2024-24-08;7,23
2024-24-08;7,2
2024-24-08;7,78
2024-24-08;7,75
2024-24-08;7,85
2024-24-09;7,67
2024-24-09;7,49
2024-24-09;7,515
2024-24-09;7,44
2024-24-09;7,37
2024-24-09;7,515
2024-24-09;7,435
2024-24-09;7,4
2024-24-09;7,445
2024-24-09;7,35
2024-24-09;7,36
2024-24-09;7,395
2024-24-09;7,33
2024-24-09;7,46
2024-24-09;7,43
2024-24-09;7,535
2024-24-09;7,61
2024-24-09;7,43
2024-24-09;7,33
2024-24-09;7,37
2024-24-09;7,42
2024-24-10;7,3
2024-24-10;7,215
2024-24-10;7,2
2024-24-10;7,22
2024-24-10;7,22
2024-24-10;7,24
2024-24-10;7,125
2024-24-10;7,305
2024-24-10;7,51
2024-24-10;7,465
2024-24-10;7,48
2024-24-10;7,99
2024-24-10;7,63
2024-24-10;7,535
2024-24-10;7,485
2024-24-10;7,36
2024-24-10;7,27
2024-24-10;7,19
2024-24-10;6,59
2024-24-10;6,695
2024-24-10;6,625
2024-24-10;6,855
2024-24-10;6,945
2024-24-11;7,035
2024-24-11;6,91
2024-24-11;6,935
2024-24-11;6,995
2024-24-11;7,11
2024-24-11;7,135
2024-24-11;7,125
2024-24-11;6,985
2024-24-11;7,15
2024-24-11;7,17
2024-24-11;7,055
2024-24-11;7,15
2024-24-11;7,15
2024-24-11;7,195
2024-24-11;7,205
2024-24-11;7,2
2024-24-11;7,185
2024-24-11;7,105
2024-24-11;7,1
2024-24-11;7,2
2024-24-11;7,245
2024-24-12;7,245
2024-24-12;7,26
2024-24-12;7,72
2024-24-12;7,78
2024-24-12;7,77
2024-24-12;7,79
2024-24-12;7,695
2024-24-12;7,9
2024-24-12;7,955
2024-24-12;7,955
2024-24-12;7,99
2024-24-12;7,8
2024-24-12;8,04
2024-24-12;7,935
2024-24-12;8,135
2024-24-12;8,2
2024-24-12;8,27
2024-24-12;8,26
2025-25-01;8,415
2025-25-01;8,555
2025-25-01;8,525
2025-25-01;8,54
2025-25-01;8,795
2025-25-01;8,84
2025-25-01;8,735
2025-25-01;8,72
2025-25-01;8,715
2025-25-01;8,72
2025-25-01;8,87
2025-25-01;9,72
