Date;SAUDI ARABIA
2014-08;947.873
2014-09;960.187
2014-10;891.073
2014-11;798.608
2014-12;750.634
2015-01;845.385
2015-02;902.955
2015-03;875.454
2015-04;997.741
2015-05;1000.000
2015-06;910.715
2015-07;945.333
2015-08;798.808
2015-09;787.112
2015-10;788.353
2015-11;848.463
2015-12;781.328
2016-01;678.885
2016-02;710.361
2016-03;685.154
2016-04;752.430
2016-05;746.476
2016-06;756.208
2016-07;739.100
2016-08;733.617
2016-09;688.963
2016-10;769.716
2016-11;893.518
2016-12;913.992
2017-01;888.875
2017-02;891.611
2017-03;890.307
2017-04;874.862
2017-05;855.720
2017-06;937.206
2017-07;862.196
2017-08;880.894
2017-09;886.232
2017-10;860.970
2017-11;857.728
2017-12;868.319
2018-01;896.119
2018-02;890.892
2018-03;960.893
2018-04;1024.486
2018-05;1088.679
2018-06;1105.196
2018-07;1110.394
2018-08;1073.572
2018-09;1073.383
2018-10;1107.307
2018-11;1073.166
2018-12;1086.585
2019-01;1195.067
2019-02;1199.938
2019-03;1267.879
2019-04;1364.780
2019-05;1246.799
2019-06;1257.907
2019-07;1272.054
2019-08;1177.843
2019-09;1189.216
2019-10;1110.306
2019-11;1139.689
2019-12;1186.593
2020-01;1159.633
2020-02;1072.501
2020-03;922.398
2020-04;1024.923
2020-05;1015.432
2020-06;1025.523
2020-07;990.056
2020-08;1028.452
2020-09;1073.901
2020-10;1053.886
2020-11;1126.196
2020-12;1096.310
2021-01;1121.445
2021-02;1180.321
2021-03;1329.298
2021-04;1377.309
2021-05;1355.152
2021-06;1449.688
2021-07;1458.209
2021-08;1534.144
2021-09;1604.601
2021-10;1655.331
2021-11;1560.709
2021-12;1624.293
2022-01;1800.616
2022-02;1850.574
2022-03;1947.721
2022-04;2175.334
2022-05;1988.013
2022-06;1813.928
2022-07;1969.547
2022-08;2036.476
2022-09;1933.476
2022-10;1976.880
2022-11;1761.384
2022-12;1642.690
2023-01;1649.430
2023-02;1564.933
2023-03;1614.937
2023-04;1684.872
2023-05;1691.955
2023-06;1709.518
2023-07;1728.313
2023-08;1715.844
2023-09;1683.951
2023-10;1638.137
2023-11;1662.509
2023-12;1756.381
2024-01;1772.539
2024-02;1896.589
2024-03;1881.221
2024-04;1856.421
2024-05;1690.385
2024-06;1756.243
2024-07;1802.908
2024-08;1774.424
2024-09;1776.152
2024-10;1799.464
2024-11;1793.322
2024-12;1884.926
2025-01;1925.573
2025-02;1895.243
2025-03;1837.195
2025-04;1709.260
2025-05;1629.848
2025-06;1604.504
2025-07;1626.058
2025-08;1571.012
