Date,STELLANTIS
03/01/2022,17.328
04/01/2022,17.714
05/01/2022,18.428
06/01/2022,18.246
07/01/2022,18.002
10/01/2022,17.864
11/01/2022,18.040
12/01/2022,18.380
13/01/2022,19.010
14/01/2022,18.974
17/01/2022,19.140
18/01/2022,19.094
19/01/2022,18.990
20/01/2022,18.794
21/01/2022,18.128
24/01/2022,16.788
25/01/2022,16.602
26/01/2022,17.404
27/01/2022,17.542
28/01/2022,17.068
31/01/2022,16.970
01/02/2022,17.344
02/02/2022,17.476
03/02/2022,17.374
04/02/2022,16.462
07/02/2022,16.302
08/02/2022,16.438
09/02/2022,17.106
10/02/2022,16.960
11/02/2022,16.770
14/02/2022,16.340
15/02/2022,17.012
16/02/2022,17.170
17/02/2022,16.850
18/02/2022,16.692
21/02/2022,16.304
22/02/2022,16.346
23/02/2022,17.066
24/02/2022,16.034
25/02/2022,16.884
28/02/2022,16.370
01/03/2022,15.236
02/03/2022,15.392
03/03/2022,14.960
04/03/2022,13.822
07/03/2022,12.938
08/03/2022,12.932
09/03/2022,14.520
10/03/2022,13.470
11/03/2022,13.496
14/03/2022,14.000
15/03/2022,14.156
16/03/2022,15.060
17/03/2022,14.716
18/03/2022,14.664
21/03/2022,14.608
22/03/2022,14.822
23/03/2022,14.594
24/03/2022,14.412
25/03/2022,14.434
28/03/2022,14.450
29/03/2022,15.410
30/03/2022,15.166
31/03/2022,14.800
01/04/2022,14.790
04/04/2022,14.888
05/04/2022,14.340
06/04/2022,13.702
07/04/2022,13.540
08/04/2022,13.766
11/04/2022,13.922
12/04/2022,13.906
13/04/2022,13.974
14/04/2022,14.074
19/04/2022,13.348
20/04/2022,13.420
21/04/2022,13.550
22/04/2022,13.112
25/04/2022,12.800
26/04/2022,12.392
27/04/2022,12.640
28/04/2022,12.796
29/04/2022,12.982
02/05/2022,12.590
03/05/2022,12.990
04/05/2022,12.822
05/05/2022,12.730
06/05/2022,13.144
09/05/2022,12.700
10/05/2022,12.848
11/05/2022,13.230
12/05/2022,13.254
13/05/2022,13.770
16/05/2022,13.682
17/05/2022,13.728
18/05/2022,13.508
19/05/2022,13.472
20/05/2022,13.540
23/05/2022,13.572
24/05/2022,13.136
25/05/2022,13.380
26/05/2022,13.710
27/05/2022,13.748
30/05/2022,14.000
31/05/2022,13.934
01/06/2022,14.176
02/06/2022,14.264
03/06/2022,13.792
06/06/2022,14.058
07/06/2022,13.888
08/06/2022,14.008
09/06/2022,13.712
10/06/2022,12.992
13/06/2022,12.482
14/06/2022,12.478
15/06/2022,12.830
16/06/2022,12.152
17/06/2022,12.236
20/06/2022,12.388
21/06/2022,12.698
22/06/2022,12.480
23/06/2022,12.214
24/06/2022,12.428
27/06/2022,12.420
28/06/2022,12.540
29/06/2022,12.190
30/06/2022,11.792
01/07/2022,11.720
04/07/2022,11.596
05/07/2022,11.240
06/07/2022,11.204
07/07/2022,11.998
08/07/2022,12.458
11/07/2022,12.200
12/07/2022,12.298
13/07/2022,12.000
14/07/2022,11.692
15/07/2022,11.956
18/07/2022,12.254
19/07/2022,12.724
20/07/2022,12.642
21/07/2022,12.568
22/07/2022,12.648
25/07/2022,12.852
26/07/2022,12.750
27/07/2022,12.930
28/07/2022,13.566
29/07/2022,13.922
01/08/2022,14.046
02/08/2022,14.282
03/08/2022,14.424
04/08/2022,14.324
05/08/2022,14.332
08/08/2022,14.782
09/08/2022,14.406
10/08/2022,14.608
11/08/2022,14.686
12/08/2022,14.832
16/08/2022,14.900
17/08/2022,14.640
18/08/2022,14.872
19/08/2022,14.444
22/08/2022,13.852
23/08/2022,14.040
24/08/2022,14.190
25/08/2022,14.090
26/08/2022,13.740
29/08/2022,13.756
30/08/2022,13.620
31/08/2022,13.354
01/09/2022,13.130
02/09/2022,13.474
05/09/2022,12.828
06/09/2022,13.000
07/09/2022,13.138
08/09/2022,13.128
09/09/2022,13.292
12/09/2022,13.738
13/09/2022,13.544
14/09/2022,13.666
15/09/2022,13.684
16/09/2022,13.400
19/09/2022,13.510
20/09/2022,13.220
21/09/2022,13.330
22/09/2022,13.008
23/09/2022,12.482
26/09/2022,12.720
27/09/2022,12.834
28/09/2022,12.826
29/09/2022,12.214
30/09/2022,12.272
03/10/2022,12.514
04/10/2022,12.930
05/10/2022,12.624
06/10/2022,12.534
07/10/2022,12.300
10/10/2022,12.184
11/10/2022,12.320
12/10/2022,12.194
13/10/2022,12.486
14/10/2022,12.498
17/10/2022,12.814
18/10/2022,13.022
19/10/2022,12.968
20/10/2022,13.174
21/10/2022,13.074
24/10/2022,13.474
25/10/2022,13.530
26/10/2022,13.652
27/10/2022,13.634
28/10/2022,13.564
31/10/2022,13.660
01/11/2022,13.792
02/11/2022,13.734
03/11/2022,13.286
04/11/2022,13.564
07/11/2022,13.760
08/11/2022,13.710
09/11/2022,13.706
10/11/2022,14.158
11/11/2022,14.228
14/11/2022,14.408
15/11/2022,14.516
16/11/2022,14.250
17/11/2022,14.108
18/11/2022,14.410
21/11/2022,14.542
22/11/2022,14.682
23/11/2022,14.464
24/11/2022,14.654
25/11/2022,14.650
28/11/2022,14.554
29/11/2022,14.710
30/11/2022,14.892
01/12/2022,14.908
02/12/2022,14.602
05/12/2022,14.658
06/12/2022,14.448
07/12/2022,14.482
08/12/2022,14.082
09/12/2022,13.724
12/12/2022,13.784
13/12/2022,13.800
14/12/2022,13.892
15/12/2022,13.554
16/12/2022,13.354
19/12/2022,13.474
20/12/2022,13.254
21/12/2022,13.540
22/12/2022,13.124
23/12/2022,13.190
27/12/2022,13.158
28/12/2022,13.118
29/12/2022,13.378
30/12/2022,13.264
02/01/2023,13.648
03/01/2023,13.826
04/01/2023,14.192
05/01/2023,14.340
06/01/2023,14.446
09/01/2023,14.554
10/01/2023,14.666
11/01/2023,14.648
12/01/2023,14.770
13/01/2023,14.230
16/01/2023,14.316
17/01/2023,14.362
18/01/2023,14.268
19/01/2023,13.910
20/01/2023,14.024
23/01/2023,14.016
24/01/2023,14.020
25/01/2023,13.916
26/01/2023,14.054
27/01/2023,14.196
30/01/2023,14.024
31/01/2023,14.376
01/02/2023,14.488
02/02/2023,15.208
03/02/2023,15.200
06/02/2023,15.080
07/02/2023,15.088
08/02/2023,15.122
09/02/2023,15.678
10/02/2023,15.412
13/02/2023,15.508
14/02/2023,15.576
15/02/2023,15.870
16/02/2023,15.904
17/02/2023,15.950
20/02/2023,16.138
21/02/2023,15.868
22/02/2023,16.218
23/02/2023,16.804
24/02/2023,16.450
27/02/2023,16.632
28/02/2023,16.554
01/03/2023,17.056
02/03/2023,17.172
03/03/2023,17.668
06/03/2023,17.576
07/03/2023,17.530
08/03/2023,17.490
09/03/2023,17.202
10/03/2023,16.888
13/03/2023,16.204
14/03/2023,16.394
15/03/2023,15.794
16/03/2023,15.916
17/03/2023,15.716
20/03/2023,15.846
21/03/2023,16.186
22/03/2023,16.196
23/03/2023,16.180
24/03/2023,15.902
27/03/2023,16.230
28/03/2023,16.252
29/03/2023,16.410
30/03/2023,16.582
31/03/2023,16.736
03/04/2023,16.670
04/04/2023,16.440
05/04/2023,16.114
06/04/2023,16.248
11/04/2023,16.750
12/04/2023,16.796
13/04/2023,16.828
14/04/2023,17.164
17/04/2023,16.978
18/04/2023,17.032
19/04/2023,16.968
20/04/2023,16.050
21/04/2023,15.944
24/04/2023,14.938
25/04/2023,14.754
26/04/2023,14.670
27/04/2023,14.754
28/04/2023,15.000
02/05/2023,14.738
03/05/2023,14.462
04/05/2023,14.360
05/05/2023,14.726
08/05/2023,14.820
09/05/2023,14.942
10/05/2023,14.970
11/05/2023,14.910
12/05/2023,14.946
15/05/2023,14.862
16/05/2023,14.692
17/05/2023,14.840
18/05/2023,15.146
19/05/2023,15.432
22/05/2023,15.322
23/05/2023,15.238
24/05/2023,14.620
25/05/2023,14.470
26/05/2023,14.772
29/05/2023,14.750
30/05/2023,14.700
31/05/2023,14.182
01/06/2023,14.384
02/06/2023,14.786
