Data	Prezzo	Rendimento	Volume
2022-01-03	17.328	0.0001	13521562
2022-01-04	17.714	0.0223	13228121
2022-01-05	18.428	0.0403	12358013
2022-01-06	18.246	-0.0099	19973672
2022-01-07	18.002	-0.0134	14026830
2022-01-10	17.864	-0.0077	12478895
2022-01-11	18.040	0.0099	9088781
2022-01-12	18.380	0.0188	6293653
2022-01-13	19.010	0.0343	11451163
2022-01-14	18.974	-0.0019	16893589
2022-01-17	19.140	0.0087	12639580
2022-01-18	19.094	-0.0024	8814355
2022-01-19	18.990	-0.0054	10158795
2022-01-20	18.794	-0.0103	11809912
2022-01-21	18.128	-0.0354	18772137
2022-01-24	16.788	-0.0739	18846784
2022-01-25	16.602	-0.0111	21923090
2022-01-26	17.404	0.0483	18049061
2022-01-27	17.542	0.0079	20085910
2022-01-28	17.068	-0.0270	14202828
2022-01-31	16.970	-0.0057	13266845
2022-02-01	17.344	0.0220	13546323
2022-02-02	17.476	0.0076	10512973
2022-02-03	17.374	-0.0058	11088446
2022-02-04	16.462	-0.0525	11443273
2022-02-07	16.302	-0.0097	20977707
2022-02-08	16.438	0.0083	12505001
2022-02-09	17.106	0.0406	10198211
2022-02-10	16.960	-0.0085	12414926
2022-02-11	16.770	-0.0112	11428071
2022-02-14	16.340	-0.0256	11021695
2022-02-15	17.012	0.0411	16408259
2022-02-16	17.170	0.0093	12740314
2022-02-17	16.850	-0.0186	8776802
2022-02-18	16.692	-0.0094	10002753
2022-02-21	16.304	-0.0232	8603795
2022-02-22	16.346	0.0026	10441662
2022-02-23	17.066	0.0440	15745316
2022-02-24	16.034	-0.0605	25063894
2022-02-25	16.884	0.0530	27661075
2022-02-28	16.370	-0.0304	19995543
2022-03-01	15.236	-0.0693	22573238
2022-03-02	15.392	0.0102	23131549
2022-03-03	14.960	-0.0281	19760491
2022-03-04	13.822	-0.0761	17317291
2022-03-07	12.938	-0.0640	27863742
2022-03-08	12.932	-0.0005	31710379
2022-03-09	14.520	0.1228	23437500
2022-03-10	13.470	-0.0723	24728697
2022-03-11	13.496	0.0019	19799814
2022-03-14	14.000	0.0373	17787316
2022-03-15	14.156	0.0111	16297996
2022-03-16	15.060	0.0639	14565554
2022-03-17	14.716	-0.0228	23758292
2022-03-18	14.664	-0.0035	14601848
2022-03-21	14.608	-0.0038	18834516
2022-03-22	14.822	0.0146	10727585
2022-03-23	14.594	-0.0154	12015856
2022-03-24	14.412	-0.0125	12834850
2022-03-25	14.434	0.0015	11775585
2022-03-28	14.450	0.0011	8201329
2022-03-29	15.410	0.0664	11175290
2022-03-30	15.166	-0.0158	21554111
2022-03-31	14.800	-0.0241	12692282
2022-04-01	14.790	-0.0007	11919513
2022-04-04	14.888	0.0066	11448264
2022-04-05	14.340	-0.0368	10698097
2022-04-06	13.702	-0.0445	15997790
2022-04-07	13.540	-0.0118	24669291
2022-04-08	13.766	0.0167	11808221
2022-04-11	13.922	0.0113	11644663
2022-04-12	13.906	-0.0011	9999354
2022-04-13	13.974	0.0049	10551107
2022-04-14	14.074	0.0072	15693607
2022-04-19	13.348	-0.0516	16219191
2022-04-20	13.420	0.0054	15206061
2022-04-21	13.550	0.0097	11110836
2022-04-22	13.112	-0.0323	11630517
2022-04-25	12.800	-0.0238	12733816
2022-04-26	12.392	-0.0319	11770439
2022-04-27	12.640	0.0200	13940427
2022-04-28	12.796	0.0123	13554190
2022-04-29	12.982	0.0145	12484763
2022-05-02	12.590	-0.0302	14469407
2022-05-03	12.990	0.0318	14107680
2022-05-04	12.822	-0.0129	14744944
2022-05-05	12.730	-0.0072	8840908
2022-05-06	13.144	0.0325	19205981
2022-05-09	12.700	-0.0338	20259397
2022-05-10	12.848	0.0117	11725915
2022-05-11	13.230	0.0297	12445007
2022-05-12	13.254	0.0018	12927245
2022-05-13	13.770	0.0389	14249318
2022-05-16	13.682	-0.0064	15173714
2022-05-17	13.728	0.0034	9695769
2022-05-18	13.508	-0.0160	10240007
2022-05-19	13.472	-0.0027	8960300
2022-05-20	13.540	0.0050	12962051
2022-05-23	13.572	0.0024	18384165
2022-05-24	13.136	-0.0321	12594588
2022-05-25	13.380	0.0186	16671957
2022-05-26	13.710	0.0247	12973796
2022-05-27	13.748	0.0028	10918350
2022-05-30	14.000	0.0183	9327762
2022-05-31	13.934	-0.0047	7221482
2022-06-01	14.176	0.0174	37176304
2022-06-02	14.264	0.0062	15541300
2022-06-03	13.792	-0.0331	6171646
2022-06-06	14.058	0.0193	11428730
2022-06-07	13.888	-0.0121	7563365
2022-06-08	14.008	0.0086	7108409
2022-06-09	13.712	-0.0211	9634086
2022-06-10	12.992	-0.0525	10113779
2022-06-13	12.482	-0.0393	15037945
2022-06-14	12.478	-0.0003	14372229
2022-06-15	12.830	0.0282	10537828
2022-06-16	12.152	-0.0528	11332648
2022-06-17	12.236	0.0069	14611301
2022-06-20	12.388	0.0124	18533131
2022-06-21	12.698	0.0250	7581801
2022-06-22	12.480	-0.0172	7844175
2022-06-23	12.214	-0.0213	11676761
2022-06-24	12.428	0.0175	10255053
2022-06-27	12.420	-0.0006	12342250
2022-06-28	12.540	0.0097	9393955
2022-06-29	12.190	-0.0279	7639261
2022-06-30	11.792	-0.0326	12427900
2022-07-01	11.720	-0.0061	14512586
2022-07-04	11.596	-0.0106	10328930
2022-07-05	11.240	-0.0307	6107231
2022-07-06	11.204	-0.0032	11642021
2022-07-07	11.998	0.0709	9293802
2022-07-08	12.458	0.0383	14373601
2022-07-11	12.200	-0.0207	13180717
2022-07-12	12.298	0.0080	8626651
2022-07-13	12.000	-0.0242	11261520
2022-07-14	11.692	-0.0257	10238269
2022-07-15	11.956	0.0226	10415134
2022-07-18	12.254	0.0249	11581552
2022-07-19	12.724	0.0384	9922342
2022-07-20	12.642	-0.0064	12516806
2022-07-21	12.568	-0.0059	12157434
2022-07-22	12.648	0.0064	12481446
2022-07-25	12.852	0.0161	10359729
2022-07-26	12.750	-0.0079	14546586
2022-07-27	12.930	0.0141	7574614
2022-07-28	13.566	0.0492	10498094
2022-07-29	13.922	0.0262	17843373
2022-08-01	14.046	0.0089	13107465
2022-08-02	14.282	0.0168	11197564
2022-08-03	14.424	0.0099	14546655
2022-08-04	14.324	-0.0069	15285395
2022-08-05	14.332	0.0006	13562461
2022-08-08	14.782	0.0314	9001478
2022-08-09	14.406	-0.0254	14175564
2022-08-10	14.608	0.0140	11966080
2022-08-11	14.686	0.0053	9001158
2022-08-12	14.832	0.0099	7311994
2022-08-16	14.900	0.0046	13634166
2022-08-17	14.640	-0.0174	10995275
2022-08-18	14.872	0.0158	10556642
2022-08-19	14.444	-0.0288	7441245
2022-08-22	13.852	-0.0410	10311180
2022-08-23	14.040	0.0136	11980241
2022-08-24	14.190	0.0107	12286103
2022-08-25	14.090	-0.0070	10843809
2022-08-26	13.740	-0.0248	10161956
2022-08-29	13.756	0.0012	13731714
2022-08-30	13.620	-0.0099	6505989
2022-08-31	13.354	-0.0195	10307319
2022-09-01	13.130	-0.0168	10781798
2022-09-02	13.474	0.0262	13103884
2022-09-05	12.828	-0.0479	12035329
2022-09-06	13.000	0.0134	15987748
2022-09-07	13.138	0.0106	12766603
2022-09-08	13.128	-0.0008	9752998
2022-09-09	13.292	0.0125	12143622
2022-09-12	13.738	0.0336	10817476
2022-09-13	13.544	-0.0141	11457955
2022-09-14	13.666	0.0090	10912849
2022-09-15	13.684	0.0013	11346666
2022-09-16	13.400	-0.0208	8404248
2022-09-19	13.510	0.0082	19048773
2022-09-20	13.220	-0.0215	6886234
2022-09-21	13.330	0.0083	13546841
2022-09-22	13.008	-0.0242	6910648
2022-09-23	12.482	-0.0404	8544502
2022-09-26	12.720	0.0191	13543361
2022-09-27	12.834	0.0090	10150594
2022-09-28	12.826	-0.0006	10252304
2022-09-29	12.214	-0.0477	11150967
